id,content,specialty
ОК-1,"Способность использовать основы философских знаний, анализировать главные этапы и закономерности исторического развития для осознания социальной значимости своей деятельности",38.03.06 Торговое дело
ОК-2,Способность использовать основы экономических знаний при оценке эффективности результатов деятельности в различных сферах,38.03.06 Торговое дело
ОК-3,Способность к коммуникации в устной и письменной формах на русском и иностранном языках для решения задач межличностного и межкультурного взаимодействия,38.03.06 Торговое дело
ОК-4,"Способность работать в команде, толерантно воспринимая социальные, этнические, конфессиональные и культурные различия",38.03.06 Торговое дело
ОК-5,Способность к самоорганизации и самообразованию,38.03.06 Торговое дело
ОК-6,Способность использовать общеправовые знания в различных сферах деятельности,38.03.06 Торговое дело
ОК-7,Способность поддерживать должный уровень физической подготовленности для обеспечения полноценной социальной и профессиональной деятельности,38.03.06 Торговое дело
ОК-8,"Готовность пользоваться основными методами защиты производственного персонала и населения от возможных последствий аварий, катастроф, стихийных бедствий",38.03.06 Торговое дело
ОК-9,"Владение культурой мышления, способностью к обобщению, анализу, восприятию информации, постановке цели и выбору путей ее достижения",38.03.06 Торговое дело
ОК-10,Готовность к выполнению гражданского долга и проявлению патриотизма,38.03.06 Торговое дело
ОПК-1,Способность решать стандартные задачи профессиональной деятельности на основе информационной и библиографической культуры с применением информационно-коммуникационных технологий и с учетом основных требований информационной безопасности,38.03.06 Торговое дело
ОПК-2,"Способность применять основные методы математического анализа и моделирования, теоретического и экспериментального исследования; владение математическим аппаратом при решении профессиональных проблем",38.03.06 Торговое дело
ОПК-3,"Умение пользоваться нормативными документами в своей профессиональной деятельности, готовностью к соблюдению действующего законодательства и требований нормативных документов",38.03.06 Торговое дело
ОПК-4,"Способность осуществлять сбор, хранение, обработку и оценку информации, необходимой для организации и управления профессиональной деятельностью (коммерческой, маркетинговой, рекламной, логистической, товароведной и (или) торгово-технологической); способность применять основные методы и средства получения, хранения, переработки информации и работать с компьютером как со средством управления информацией",38.03.06 Торговое дело
ОПК-5,"Готовность работать с технической документацией, необходимой для профессиональной деятельности (коммерческой, маркетинговой, рекламной, логистической, товароведной и (или) торгово-технологической) и проверять правильность ее оформления",38.03.06 Торговое дело
ПК-1,"Способность управлять ассортиментом и качеством товаров и услуг, оценивать их качество, диагностировать дефекты, обеспечивать необходимый уровень качества товаров и их сохранение, эффективно осуществлять контроль качества товаров и услуг, приемку и учет ",38.03.06 Торговое дело
ПК-2,"Способность осуществлять управление торгово-технологическими процессами на предприятии, регулировать процессы хранения, проводить инвентаризацию, определять и минимизировать затраты материальных и трудовых ресурсов, а также учитывать и списывать потери",38.03.06 Торговое дело
ПК-3,"Готовность к выявлению и удовлетворению потребностей покупателей товаров, их формированию с помощью маркетинговых коммуникаций, способностью изучать и прогнозировать спрос потребителей, анализировать маркетинговую информацию, конъюнктуру товарного рынка",38.03.06 Торговое дело
ПК-4,Способность идентифицировать товары для выявления и предупреждения их фальсификации,38.03.06 Торговое дело
ПК-5,"Способность управлять персоналом организации (предприятия), готовностью к организационно-управленческой работе с малыми коллективами",38.03.06 Торговое дело
ПК-6,"Способность выбирать деловых партнеров, проводить с ними деловые переговоры, заключать договора и контролировать их выполнение",38.03.06 Торговое дело
ПК-7,"Способность организовывать и планировать материально-техническое обеспечение предприятий, закупку и продажу товаров",38.03.06 Торговое дело
ПК-8,Готовность обеспечивать необходимый уровень качества торгового обслуживания,38.03.06 Торговое дело
ПК-9,"Готовность анализировать, оценивать и разрабатывать стратегии организации",38.03.06 Торговое дело
ПК-10,"Способность проводить научные, в том числе маркетинговые, исследования в профессиональной деятельности",38.03.06 Торговое дело
ПК-11,"Способность участвовать в разработке инновационных методов, средств и технологий в области профессиональной деятельности (коммерческой, маркетинговой, рекламной, логистической и (или) товароведной)",38.03.06 Торговое дело
ПК-12,"Способность разрабатывать проекты профессиональной деятельности (торгово-технологические, маркетинговые, рекламные и (или) логистические процессы) с использованием информационных технологий",38.03.06 Торговое дело
ПК-13,"Готовность участвовать в реализации проектов в области профессиональной деятельности (коммерческой, маркетинговой, рекламной, логистической и (или) товароведной)",38.03.06 Торговое дело
ПК-14,Способность прогнозировать бизнес-процессы и оценивать их эффективность,38.03.06 Торговое дело
ПК-15,"Готовность участвовать в выборе и формировании логистических цепей и схем в торговых организациях, способностью управлять логистическими процессами и изыскивать оптимальные логистические системы",38.03.06 Торговое дело
